institution name,longitude,latitude,In-state min tuition,In-state max tuition,Out-of-state min tuition ,Out-of-state max tuition,Undergraduate enrollment,Graduate enrollment,Graduation rate,is_public,fees,location,aboutText
Widener University,-75.355363,39.861689,26755.0,52598.0,26755.0,52598.0,2811.0,2799.0,64.0,False,1040.0,"Chester, Pennsylvania","A private university located in Chester, Pennsylvania"
Wilkes University,-75.890262,41.244199,24000.0,40308.0,24000.0,40308.0,1956.0,3242.0,60.0,False,1978.0,"Wilkes-Barre, Pennsylvania","A private university located in Wilkes-Barre, Pennsylvania"
Williamson College of the Trades,-75.422024,39.90807,20524.417322834644,30718.0,22490.58267716536,30718.0,313.0,0.0,57.46341463414634,False,140.0,"Media, Pennsylvania","A private university located in Media, Pennsylvania"
Wilson College,-77.650712,39.949659,9450.0,25950.0,9450.0,25950.0,1180.0,514.0,52.0,False,1050.0,"Chambersburg, Pennsylvania","A private university located in Chambersburg, Pennsylvania"
Yeshivath Beth Moshe,-75.656191,41.394852,10200.0,10200.0,10200.0,10200.0,39.0,2.0,51.84767221,False,200.0,"Scranton, Pennsylvania","A private university located in Scranton, Pennsylvania"
York College of Pennsylvania,-76.727984,39.94614,12240.0,22120.0,12240.0,22120.0,3308.0,412.0,60.0,False,2486.0,"York, Pennsylvania","A private university located in York, Pennsylvania"
YTI Career Institute-York,-76.660321,39.992432,20524.417322834644,25448.232804232804,22490.58267716536,27706.243386243383,497.0,0.0,57.46341463414634,False,,"York, Pennsylvania","A private university located in York, Pennsylvania"
Brown University,-71.40385,41.82617,65656.0,65656.0,65656.0,65656.0,7741.0,3775.0,96.0,False,2574.0,"Providence, Rhode Island","A private university located in Providence, Rhode Island"
Bryant University,-71.539547,41.920092,48460.0,50272.0,48460.0,50272.0,3240.0,352.0,81.0,False,897.0,"Smithfield, Rhode Island","A private university located in Smithfield, Rhode Island"
Johnson & Wales University-Providence,-71.41277,41.819956,15156.0,39792.0,15156.0,39792.0,3952.0,420.0,49.0,False,200.0,"Providence, Rhode Island","A private university located in Providence, Rhode Island"
New England Institute of Technology,-71.502892,41.661783,15000.0,33225.0,15000.0,33225.0,1712.0,138.0,66.0,False,2400.0,"East Greenwich, Rhode Island","A private university located in East Greenwich, Rhode Island"
New England Tractor Trailer Training School of Rhode Island,-71.405906,41.880296,25547.5,34560.53846153846,27459.5,37930.769230769234,487.0,0.0,66.0,False,,"Pawtucket, Rhode Island","A private university located in Pawtucket, Rhode Island"
Providence College,-71.437446,41.842742,12210.0,59830.0,12210.0,59830.0,4191.0,444.0,88.0,False,1018.0,"Providence, Rhode Island","A private university located in Providence, Rhode Island"
Rhode Island College,-71.46556,41.842415,8910.0,9481.0,17352.0,25014.0,4785.0,982.0,46.0,True,1505.0,"Providence, Rhode Island","A public university located in Providence, Rhode Island"
Community College of Rhode Island,-71.481509,41.712817,4856.0,25547.5,13740.0,27459.5,12518.0,0.0,66.0,True,470.0,"Warwick, Rhode Island","A public university located in Warwick, Rhode Island"
